filename,class,xmin,ymin,xmax,ymax,z_true
000000.txt,Pedestrian,712.4,143.0,810.73,307.92,8.41
000001.txt,Truck,599.41,156.4,629.75,189.25,69.44
000001.txt,Car,387.63,181.54,423.81,203.12,58.49
000001.txt,Cyclist,676.6,163.95,688.98,193.93,45.84
000002.txt,Misc,804.79,167.34,995.43,327.94,8.55
000002.txt,Car,657.39,190.13,700.07,223.39,34.38
000003.txt,Car,614.24,181.78,727.31,284.77,13.22
000004.txt,Car,280.38,185.1,344.9,215.59,38.26
000004.txt,Car,365.14,184.54,406.11,205.2,51.17
000005.txt,Pedestrian,330.06,178.74,360.77,238.64,23.02
000006.txt,Car,548.0,171.33,572.4,194.42,48.22
000006.txt,Car,505.25,168.37,575.44,209.18,31.73
000006.txt,Car,49.7,185.65,227.42,246.96,19.72
000006.txt,Car,328.67,170.65,397.24,204.16,38.44
000007.txt,Car,564.62,174.59,616.43,224.74,25.01
000007.txt,Car,481.59,180.09,512.55,202.42,47.55
000007.txt,Car,542.05,175.55,565.27,193.79,60.52
000007.txt,Cyclist,330.6,176.09,355.61,213.6,34.09
000008.txt,Car,0.0,192.37,402.31,374.0,3.68
000008.txt,Car,334.85,178.94,624.5,372.04,7.86
000008.txt,Car,937.29,197.39,1241.0,374.0,6.15
000008.txt,Car,597.59,176.18,720.9,261.14,14.44
000008.txt,Car,741.18,168.83,792.25,208.43,33.2
000008.txt,Car,884.52,178.31,956.41,240.18,19.96
000009.txt,Car,601.96,177.01,659.15,229.51,23.88
000009.txt,Car,600.14,177.09,624.65,193.31,66.37
000009.txt,Car,574.98,178.64,598.45,194.01,68.25
000010.txt,Car,1013.39,182.46,1241.0,374.0,5.2
000010.txt,Car,354.43,185.52,549.52,294.49,11.8
000010.txt,Pedestrian,859.54,159.8,879.68,221.4,23.51
000010.txt,Car,819.63,178.12,926.85,251.56,16.5
000010.txt,Car,800.54,178.06,878.75,230.56,22.05
000010.txt,Car,558.55,179.04,635.05,230.61,23.64
000010.txt,Car,598.3,178.68,652.25,218.17,29.07
000010.txt,Car,784.59,178.04,839.98,220.1,28.53
000010.txt,Car,663.74,175.36,707.21,204.15,42.85
000011.txt,Pedestrian,883.68,144.15,937.35,259.01,12.42
000011.txt,Pedestrian,873.7,152.1,933.44,256.07,13.43
000011.txt,Car,444.29,171.04,504.95,225.82,26.64
000011.txt,Pedestrian,649.28,168.1,664.61,206.4,34.08
000011.txt,Car,0.0,217.12,85.92,374.0,4.13
000011.txt,Pedestrian,240.35,190.31,268.02,261.61,15.95
000012.txt,Car,662.2,185.85,690.21,205.03,58.84
000012.txt,Van,448.07,177.14,481.6,206.41,65.02
000013.txt,Car,455.7,183.86,533.81,241.91,20.13
000014.txt,Car,626.59,176.07,654.95,194.24,59.81
000015.txt,Car,0.0,194.7,414.71,373.0,4.1
000015.txt,Pedestrian,1021.76,133.28,1101.39,316.63,7.59
000015.txt,Pedestrian,672.23,171.73,690.13,224.33,24.14
000015.txt,Pedestrian,692.68,169.14,712.48,224.03,24.22
000015.txt,Pedestrian,537.84,168.08,560.9,224.34,23.3
000016.txt,Car,661.23,174.85,694.38,197.63,44.41
000016.txt,Truck,125.12,91.71,474.04,253.26,26.41
000016.txt,Car,684.49,172.19,733.85,205.26,33.13
000016.txt,Car,0.0,193.56,386.2,374.0,6.05
000016.txt,Car,494.45,181.84,527.48,205.27,46.74
000016.txt,Tram,587.32,158.63,648.66,188.51,90.96
000017.txt,Car,728.25,173.97,791.57,200.2,47.16
000018.txt,Car,523.41,194.53,550.65,219.39,47.02
000018.txt,Van,572.15,185.81,606.45,219.24,47.11
000018.txt,Tram,387.26,166.06,473.51,213.36,59.75
000019.txt,Truck,0.0,0.0,424.74,374.0,5.46
000019.txt,Car,742.41,184.49,944.56,321.39,9.72
000019.txt,Van,639.17,169.69,683.48,212.97,35.34
000019.txt,Car,551.01,184.06,575.42,204.29,59.59
000020.txt,Car,685.05,181.43,804.68,258.21,15.58
000021.txt,Cyclist,1056.16,190.5,1241.0,374.0,3.14
000021.txt,Car,359.43,179.3,516.3,270.97,13.3
000021.txt,Car,444.13,163.92,559.2,247.04,17.6
000021.txt,Van,870.59,115.22,1101.06,213.85,21.3
000021.txt,Car,724.49,171.09,790.5,215.13,25.97
000021.txt,Car,534.25,166.2,596.08,216.76,26.83
000021.txt,Car,709.81,162.43,765.7,205.68,32.13
000021.txt,Car,562.02,166.42,605.57,206.89,31.78
000022.txt,Car,128.66,199.48,218.9,237.2,31.72
000022.txt,Car,60.72,198.17,159.92,238.35,31.61
000023.txt,Truck,599.21,156.67,629.63,189.6,69.29
000023.txt,Car,372.95,182.64,412.21,205.68,55.08
000023.txt,Cyclist,677.94,164.64,690.85,195.36,44.76
000024.txt,Car,517.23,162.98,564.36,196.64,36.37
000024.txt,Car,443.6,168.03,480.35,195.69,38.09
000024.txt,Car,427.54,165.14,455.37,185.51,52.01
000025.txt,Car,896.11,218.17,1241.0,374.0,3.14
000025.txt,Car,351.84,183.19,537.77,308.64,10.42
000025.txt,Car,562.48,173.46,618.49,217.36,30.18
000025.txt,Car,724.21,178.91,805.39,249.94,17.48
000025.txt,Cyclist,650.19,175.43,659.99,205.2,44.63
000025.txt,Car,720.81,187.01,779.98,236.22,22.3
000026.txt,Truck,633.9,155.08,704.57,211.64,37.22
000026.txt,Car,555.45,174.38,576.17,191.19,68.34
000027.txt,Van,16.35,117.65,314.78,314.78,12.9
000027.txt,Car,590.88,181.6,607.07,194.48,73.46
000028.txt,Pedestrian,147.29,156.22,205.29,309.43,8.51
000029.txt,Misc,490.15,174.98,542.09,227.7,23.25
000029.txt,Car,652.31,174.94,690.16,204.97,41.53
000030.txt,Car,559.66,178.84,588.85,204.88,41.9
000031.txt,Car,334.28,180.65,490.02,297.48,12.2
000031.txt,Car,785.85,179.67,1028.82,340.75,8.46
000031.txt,Car,711.98,179.65,848.82,277.62,13.14
000031.txt,Truck,445.91,131.69,539.77,228.36,22.27
000031.txt,Car,660.82,178.72,713.09,222.03,26.41
000031.txt,Van,620.95,171.59,649.36,200.46,51.9
000032.txt,Car,178.19,189.36,435.56,344.73,9.0
000032.txt,Car,776.17,182.37,1014.36,335.44,8.6
000032.txt,Van,340.65,150.97,489.14,274.11,14.34
000032.txt,Car,711.6,180.21,863.08,273.6,13.47
000032.txt,Car,709.49,176.89,777.81,234.26,19.85
000032.txt,Van,119.13,141.28,368.15,230.69,22.71
000032.txt,Car,725.15,164.18,806.31,219.41,25.25
000032.txt,Van,611.72,163.22,643.8,197.13,44.71
000032.txt,Van,780.93,147.56,917.34,199.48,39.04
000032.txt,Car,494.77,173.81,531.54,199.22,44.75
000033.txt,Car,582.63,175.1,601.14,189.77,64.47
000033.txt,Car,0.0,189.66,234.52,322.3,10.15
000034.txt,Car,46.17,196.15,328.4,286.09,14.12
000034.txt,Car,466.96,184.85,522.12,207.02,49.04
000035.txt,Car,587.01,173.33,614.12,200.12,46.7
000035.txt,Car,425.44,176.21,529.23,259.84,16.31
000035.txt,Car,234.86,185.44,320.32,231.58,27.71
000035.txt,Cyclist,665.45,160.0,717.93,217.99,22.1
000035.txt,Pedestrian,423.17,173.67,433.17,224.03,23.11
000036.txt,Car,553.16,178.73,693.67,311.88,10.13
000036.txt,Car,341.05,194.66,390.28,218.73,46.01
000036.txt,Car,286.23,196.48,337.13,220.85,44.69
000036.txt,Car,412.76,190.23,455.28,212.54,50.4
000036.txt,Car,960.19,183.87,1104.42,229.69,26.68
000036.txt,Car,1154.43,178.14,1241.0,222.29,26.55
000036.txt,Car,1123.12,213.78,1241.0,374.0,4.08
000037.txt,Car,555.85,173.64,628.69,240.05,19.43
000037.txt,Truck,27.11,0.0,512.28,375.0,10.25
000037.txt,Car,473.07,183.18,535.73,226.04,24.49
000038.txt,Car,592.08,176.5,637.55,219.52,28.28
000038.txt,Car,895.35,158.55,1241.0,374.0,6.69
000038.txt,Car,817.68,176.9,1038.04,302.31,10.4
000038.txt,Car,749.97,177.62,940.82,262.93,14.02
000038.txt,Car,489.07,180.53,521.27,201.03,50.9
000038.txt,Car,302.47,188.9,409.18,250.55,18.66
000038.txt,Car,682.53,173.56,796.81,220.86,24.75
000038.txt,Car,659.69,174.94,745.56,209.34,31.46
000038.txt,Van,640.44,167.63,707.44,198.61,46.13
000038.txt,Car,434.34,175.49,472.4,199.91,52.04
000038.txt,Car,456.14,177.0,487.16,197.96,58.61
000038.txt,Car,412.71,177.61,437.08,195.86,59.96
000039.txt,Car,114.51,193.47,466.61,374.0,7.17
000039.txt,Car,683.15,184.41,776.5,256.99,16.67
000039.txt,Car,533.53,177.81,574.19,212.8,33.82
000039.txt,Car,653.23,180.26,702.93,220.26,29.48
000039.txt,Car,561.27,178.49,585.9,201.02,48.95
000039.txt,Car,639.85,175.24,667.59,200.41,49.29
000040.txt,Car,474.58,179.03,516.72,210.71,35.37
000040.txt,Pedestrian,691.54,168.88,700.87,198.51,42.82
000041.txt,Car,439.52,178.17,508.93,205.17,41.75
000042.txt,Car,576.34,174.48,604.86,202.67,44.49
000042.txt,Tram,390.32,163.01,450.87,196.74,94.91
000043.txt,Pedestrian,471.56,174.73,502.47,266.4,12.56
000043.txt,Pedestrian,441.08,170.15,473.22,268.12,12.34
000043.txt,Pedestrian,684.72,161.94,711.08,230.1,20.51
000043.txt,Pedestrian,719.54,160.0,745.42,229.67,20.3
000044.txt,Car,0.0,203.44,365.5,374.0,5.22
000044.txt,Car,378.01,183.98,507.17,276.44,13.93
000045.txt,Car,75.43,192.52,273.65,277.52,15.21
000045.txt,Tram,694.04,152.62,734.19,188.24,79.53
000045.txt,Car,269.01,176.97,375.72,242.36,21.96
000045.txt,Car,346.6,186.7,419.98,229.04,27.06
000045.txt,Car,387.31,178.52,455.56,221.43,31.88
000045.txt,Car,455.95,181.43,500.99,209.72,41.53
000045.txt,Car,480.03,181.4,517.92,205.67,46.7
000046.txt,Car,578.47,176.02,625.98,221.24,26.76
000046.txt,Car,597.59,168.75,634.85,207.61,35.33
000046.txt,Car,769.21,151.69,1087.61,374.0,7.64
000046.txt,Car,706.06,174.92,807.35,254.28,15.65
000046.txt,Car,660.18,171.93,703.11,210.02,32.3
000046.txt,Car,646.4,174.21,684.26,204.82,38.2
000047.txt,Car,572.31,171.6,624.11,218.82,26.54
000047.txt,Car,0.0,190.67,171.41,313.27,10.68
000047.txt,Car,214.99,165.2,423.55,292.98,12.25
000047.txt,Car,296.94,182.19,393.12,231.61,23.68
000047.txt,Car,428.19,180.81,498.01,226.24,25.13
