row_id,filename,class,xmin,ymin,xmax,ymax,z_true,z_pred
0,000000.txt,Pedestrian,712.4,143.0,810.73,307.92,8.41,8.281875
1,000001.txt,Truck,599.41,156.4,629.75,189.25,69.44,73.41396
2,000001.txt,Car,387.63,181.54,423.81,203.12,58.49,58.31895
3,000001.txt,Cyclist,676.6,163.95,688.98,193.93,45.84,46.2859
4,000002.txt,Misc,804.79,167.34,995.43,327.94,8.55,10.187097
5,000002.txt,Car,657.39,190.13,700.07,223.39,34.38,35.139957
6,000003.txt,Car,614.24,181.78,727.31,284.77,13.22,12.960277
7,000004.txt,Car,280.38,185.1,344.9,215.59,38.26,38.02785
8,000004.txt,Car,365.14,184.54,406.11,205.2,51.17,54.380833
9,000005.txt,Pedestrian,330.06,178.74,360.77,238.64,23.02,22.00142
10,000006.txt,Car,548.0,171.33,572.4,194.42,48.22,57.885715
11,000006.txt,Car,505.25,168.37,575.44,209.18,31.73,31.191864
12,000006.txt,Car,49.7,185.65,227.42,246.96,19.72,20.154982
13,000006.txt,Car,328.67,170.65,397.24,204.16,38.44,38.56558
14,000007.txt,Car,564.62,174.59,616.43,224.74,25.01,26.527489
15,000007.txt,Car,481.59,180.09,512.55,202.42,47.55,55.303288
16,000007.txt,Car,542.05,175.55,565.27,193.79,60.52,65.93
17,000007.txt,Cyclist,330.6,176.09,355.61,213.6,34.09,35.646595
18,000008.txt,Car,0.0,192.37,402.31,374.0,3.68,5.760301
19,000008.txt,Car,334.85,178.94,624.5,372.04,7.86,8.248072
20,000008.txt,Car,937.29,197.39,1241.0,374.0,6.15,3.5745614
21,000008.txt,Car,597.59,176.18,720.9,261.14,14.44,15.61967
22,000008.txt,Car,741.18,168.83,792.25,208.43,33.2,32.226242
23,000008.txt,Car,884.52,178.31,956.41,240.18,19.96,20.030912
24,000009.txt,Car,601.96,177.01,659.15,229.51,23.88,23.829378
25,000009.txt,Car,600.14,177.09,624.65,193.31,66.37,71.14888
26,000009.txt,Car,574.98,178.64,598.45,194.01,68.25,73.41744
27,000010.txt,Car,1013.39,182.46,1241.0,374.0,5.2,3.686947
28,000010.txt,Car,354.43,185.52,549.52,294.49,11.8,12.05399
29,000010.txt,Pedestrian,859.54,159.8,879.68,221.4,23.51,21.330547
30,000010.txt,Car,819.63,178.12,926.85,251.56,16.5,17.455425
31,000010.txt,Car,800.54,178.06,878.75,230.56,22.05,23.203936
32,000010.txt,Car,558.55,179.04,635.05,230.61,23.64,22.82814
33,000010.txt,Car,598.3,178.68,652.25,218.17,29.07,29.988457
34,000010.txt,Car,784.59,178.04,839.98,220.1,28.53,28.641388
35,000010.txt,Car,663.74,175.36,707.21,204.15,42.85,41.85906
36,000011.txt,Pedestrian,883.68,144.15,937.35,259.01,12.42,11.858041
37,000011.txt,Pedestrian,873.7,152.1,933.44,256.07,13.43,12.97547
38,000011.txt,Car,444.29,171.04,504.95,225.82,26.64,25.072033
